Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 2, 2026","July 2, 2026",Run,549,7.26961606272,4240,9.720793068480075,4.600340262864869,6.1723170432,13.04251001856,,8681,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8827967780
"July 1, 2026","July 1, 2026",Walk,782,10.4564712384,6521,10.393862343911556,5.340331215700309,5.772620367359999,11.235264986879999,,12657,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8827247565
"June 30, 2026","June 30, 2026",Walk,1117,15.18330768768,10110,11.097689493358784,1.6432658275670087,5.4065267942399995,36.51263573759999,,18807,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8826589975
"June 29, 2026","June 29, 2026",Walk,405,5.513178021120001,3684,11.136960152708184,2.8333097212280283,5.38747216128,21.176553024,,7036,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8826040410
"June 29, 2026","June 29, 2026",Walk,779,10.3172629824,5986,9.669902767835838,4.329583979559373,6.20484188544,13.85815774464,,12248,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8825978907
"June 28, 2026","June 28, 2026",Walk,74,1.002606827904,674,11.20413037858904,5.20211962141096,5.3551726272,11.53375001856,,1331,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8825618637
"June 28, 2026","June 28, 2026",Walk,95,1.2588176113920002,757,10.022655193668973,7.1242071303587045,5.986453904639999,8.421970740479999,,1575,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8825358832
"June 27, 2026","June 27, 2026",Walk,144,1.9982258841600002,1707,14.237664539091703,4.336860236220472,4.21417991808,13.8348866304,,2870,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8824866812
"June 27, 2026","June 27, 2026",Walk,71,0.9537133478400001,622,10.869770540046131,5.345351894933588,5.5198889856,11.224707690239999,,1249,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8824808609
"June 26, 2026","June 26, 2026",Walk,131,1.7714049408,1162,10.932901853177443,2.1346834486598265,5.48800788096,28.10719296,,2231,,Map My Fitness p53ejj73t52tydevdz97b62ygebpkvw2,http://www.mapmyfitness.com/workout/8824433829
